rx_time,seq,pkt_no,ms,flight_mode,eject_state,altitude_cm,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pressure,bmp_temp,voltage_mv,current_ma,system_status,ack_received,crc16
1783145783.679,1,1,1,0,0,-2,-4,-8,980,-4,-1,-1,101325,2500,7400,505,0xf,False,0x0
1783145783.879,2,2,201,0,0,-14,21,-47,996,-1,1,3,101325,2500,7400,503,0xf,False,0x0
1783145784.079,3,3,401,0,0,-8,59,-42,999,-4,4,0,101325,2500,7400,496,0xf,False,0x0
1783145784.281,4,4,603,0,0,-5,2,-20,973,-1,0,4,101325,2500,7400,501,0xf,False,0x0
1783145784.566,5,5,888,0,0,20,-8,-47,965,-1,4,-2,101325,2500,7400,501,0xf,False,0x0
1783145784.974,7,7,1296,0,0,4,-28,-26,994,-3,5,1,101325,2500,7400,483,0xf,False,0x0
1783145785.174,8,8,1496,0,0,9,48,58,1045,4,-3,-4,101325,2500,7400,511,0xf,False,0x0
1783145785.576,10,10,1898,0,0,10,-48,51,958,3,3,-1,101325,2500,7400,490,0xf,False,0x0
1783145785.815,11,11,2137,0,0,-7,-59,29,1023,3,4,2,101325,2500,7400,496,0xf,False,0x0
1783145786.016,12,12,2338,0,0,-6,42,-6,984,4,-3,1,101325,2500,7400,497,0xf,False,0x0
1783145786.229,13,13,2551,0,0,-6,57,-6,1016,-5,-5,-3,101325,2500,7399,507,0xf,False,0x0
1783145786.430,14,14,2752,0,0,-17,-9,-19,959,2,0,-5,101325,2500,7399,517,0xf,False,0x0
1783145786.631,15,15,2953,0,0,14,-50,-53,975,-4,1,4,101325,2500,7399,503,0xf,False,0x0
1783145786.832,16,16,3154,0,0,-16,-27,-33,1024,1,-5,-1,101325,2500,7399,504,0xf,False,0x0
1783145787.032,17,17,3354,0,0,10,39,-48,979,2,1,5,101325,2500,7399,489,0xf,False,0x0
1783145787.233,18,18,3555,0,0,16,-25,15,1033,2,5,-4,101325,2500,7399,511,0xf,False,0x0
1783145787.434,19,19,3756,0,0,3,-43,-22,1049,-5,-5,3,101325,2500,7399,514,0xf,False,0x0
1783145787.635,20,20,3956,0,0,-14,51,60,960,-1,1,-4,101325,2500,7399,510,0xf,False,0x0
1783145787.836,21,21,4158,0,0,-14,-59,60,990,-4,-5,4,101325,2500,7399,486,0xf,False,0x0
1783145788.036,22,22,4358,0,0,-17,19,-10,1030,-5,1,-5,101325,2500,7399,495,0xf,False,0x0
1783145788.246,23,23,4568,0,0,3,15,-36,1037,5,4,2,101325,2500,7399,517,0xf,False,0x0
1783145788.447,24,24,4769,0,0,17,-31,50,1036,-5,-1,-5,101325,2500,7399,491,0xf,False,0x0
1783145788.680,25,25,5002,1,0,-16,10,16,974,1,-4,-4,101325,2500,7398,497,0xf,False,0x0
1783145788.881,26,26,5202,1,0,5,-28,-19,1013,-3,1,-3,101325,2500,7398,508,0xf,False,0x0
1783145789.084,27,27,5406,1,0,-13,-37,-26,967,-1,3,-2,101325,2500,7398,518,0xf,False,0x0
1783145789.285,28,28,5606,1,0,6,-31,51,1046,5,-3,-2,101325,2500,7398,494,0xf,False,0x0
1783145789.488,29,29,5810,1,0,-6,-3,-46,1026,5,0,-5,101325,2500,7398,495,0xf,False,0x0
1783145789.693,30,30,6015,1,0,15,25,-14,1041,-1,-1,3,101325,2500,7398,490,0xf,False,0x0
1783145789.894,31,31,6216,1,0,-4,55,-16,1035,-2,4,5,101325,2500,7398,490,0xf,False,0x0
1783145790.094,32,32,6416,1,0,-13,-27,12,1036,1,-2,0,101325,2500,7398,512,0xf,False,0x0
1783145790.295,33,33,6617,1,0,17,9,44,1033,-1,-2,3,101325,2500,7398,491,0xf,False,0x0
1783145790.495,34,34,6817,1,0,4,24,53,953,5,5,-2,101325,2500,7398,484,0xf,False,0x0
1783145790.695,35,35,7017,1,0,17,34,12,1039,1,2,-2,101325,2500,7398,488,0xf,False,0x0
1783145790.895,36,36,7217,1,0,11,14,-25,965,-4,2,-1,101325,2500,7398,520,0xf,False,0x0
1783145791.096,37,37,7418,1,0,-18,7,-48,1030,-1,-2,-2,101325,2500,7398,493,0xf,False,0x0
1783145791.297,38,38,7619,1,0,10,14,54,970,0,-4,5,101325,2500,7397,505,0xf,False,0x0
1783145791.498,39,39,7820,1,0,15,-1,-30,958,-3,-4,-4,101325,2500,7397,512,0xf,False,0x0
1783145791.708,40,40,8029,1,0,-9,41,29,998,-4,1,-2,101325,2500,7397,493,0xf,False,0x0
1783145791.908,41,41,8230,1,0,18,-19,-3,984,0,-2,2,101325,2500,7397,516,0xf,False,0x0
1783145792.113,42,42,8435,1,0,-15,-42,-15,1022,5,1,-3,101325,2500,7397,519,0xf,False,0x0
1783145792.313,43,43,8635,1,0,-20,28,36,1031,5,1,4,101325,2500,7397,516,0xf,False,0x0
1783145792.537,44,44,8858,1,0,-2,-22,-53,976,-1,-1,-2,101325,2500,7397,483,0xf,False,0x0
1783145792.737,45,45,9059,1,0,20,52,32,1004,1,3,-5,101325,2500,7397,514,0xf,False,0x0
1783145792.963,46,46,9285,1,0,-1,27,13,1018,-1,-2,-4,101325,2500,7397,507,0xf,False,0x0
1783145793.377,48,48,9699,1,0,-6,59,-1,1046,0,3,5,101325,2500,7397,480,0xf,False,0x0
1783145793.578,49,49,9899,1,0,12,23,2,999,2,-3,0,101325,2500,7397,498,0xf,False,0x0
1783145793.806,50,50,10128,2,0,827,50,10,1244,-3,5,-4,101225,2494,7396,501,0xf,False,0x0
1783145794.007,51,51,10329,2,0,2068,-6,-58,1557,5,-2,1,101074,2486,7396,512,0xf,False,0x0
1783145794.249,52,52,10571,2,0,3534,38,-18,1863,-1,5,3,100896,2477,7396,489,0xf,False,0x0
1783145794.450,53,53,10771,2,0,4690,20,19,2203,-3,3,5,100752,2469,7396,491,0xf,False,0x0
1783145794.663,54,54,10985,2,0,5901,52,20,2501,-2,3,3,100603,2461,7396,486,0xf,False,0x0
1783145794.864,55,55,11186,2,0,7021,29,-51,2696,2,-4,1,100467,2454,7396,512,0xf,False,0x0
