rx_time,seq,pkt_no,ms,flight_mode,eject_state,altitude_cm,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pressure,bmp_temp,voltage_mv,current_ma,system_status,ack_received,crc16
1783146820.969,1,1,0,0,0,16,-48,17,980,3,-2,0,101325,2500,7400,485,0xf,False,0x0
1783146821.185,2,2,216,0,0,-4,40,60,1047,-3,-5,-4,101325,2500,7400,489,0xf,False,0x0
1783146821.417,3,3,448,0,0,-10,-57,-39,1001,0,-5,0,101325,2500,7400,500,0xf,False,0x0
1783146821.619,4,4,650,0,0,-10,37,46,1048,-3,-2,-3,101325,2500,7400,508,0xf,False,0x0
1783146821.821,5,5,853,0,0,-9,46,-26,998,0,5,5,101325,2500,7400,482,0xf,False,0x0
1783146822.224,7,7,1256,0,0,20,-2,25,1005,2,-4,-4,101325,2500,7400,502,0xf,False,0x0
1783146822.425,8,8,1457,0,0,-14,8,39,984,-2,-4,4,101325,2500,7400,517,0xf,False,0x0
1783146822.626,9,9,1657,0,0,-19,48,-27,988,-3,4,-5,101325,2500,7400,492,0xf,False,0x0
1783146822.829,10,10,1860,0,0,17,12,-28,961,5,-1,-1,101325,2500,7400,502,0xf,False,0x0
1783146823.029,11,11,2061,0,0,8,51,-24,970,-3,5,1,101325,2500,7400,509,0xf,False,0x0
1783146823.234,12,12,2265,0,0,-13,9,38,974,-5,-4,-5,101325,2500,7400,504,0xf,False,0x0
1783146823.438,13,13,2469,0,0,17,-1,-28,970,2,-5,1,101325,2500,7400,509,0xf,False,0x0
1783146823.671,14,14,2703,0,0,1,-18,4,983,0,-4,0,101325,2500,7399,517,0xf,False,0x0
1783146823.873,15,15,2904,0,0,2,51,34,981,0,1,-2,101325,2500,7399,492,0xf,False,0x0
1783146824.135,16,16,3167,0,0,6,31,-10,1035,-2,1,2,101325,2500,7399,480,0xf,False,0x0
1783146824.336,17,17,3368,0,0,14,57,-32,954,3,5,5,101325,2500,7399,481,0xf,False,0x0
1783146824.539,18,18,3571,0,0,10,-1,-39,955,0,0,2,101325,2500,7399,518,0xf,False,0x0
1783146824.740,19,19,3771,0,0,-12,-13,-53,955,2,0,1,101325,2500,7399,500,0xf,False,0x0
